LCSC Part Number,Manufacture Part Number,Manufacturer,Customer NO.,Package,Description,RoHS,Order Qty.,Min\Mult Order Qty.,Unit Price,Order Price
C964881,BH-AAA-B5AA001,MYOUNG,BT1,SMD,Battery case -25℃~+85℃ No 7 SMD  Battery Connectors ROHS,YES,500,1\1,$ 0.7001,$ 350.05
C5145392,NE556DRG,HANSCHIP semiconductor,U1,SOP-14," SOP-14  Timers / Clock Oscillators ROHS",YES,500,5\5,$ 0.0797,$ 39.85
C1779,CL21A475KAQNNNE,Samsung Electro-Mechanics,"C2, C4",0805,25V 4.7uF X5R ±10% 0805  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,YES,1000,50\50,$ 0.0133,$ 13.30
C2858856,RVT470UF10V67RV0159,KNSCHA,C5,"SMD,D6.3xL7.7mm","470uF 10V ±20% SMD,D6.3xL7.7mm  Aluminum Electrolytic Capacitors - SMD ROHS",YES,500,10\10,$ 0.0263,$ 13.15
C2836443,RVT100UF25V67RV0011,KNSCHA,C6,"SMD,D6.3xL7.7mm","100uF 25V 93mA@120Hz ±20% SMD,D6.3xL7.7mm  Aluminum Electrolytic Capacitors - SMD ROHS",YES,500,20\20,$ 0.0277,$ 13.85
C217765,ARG05FTC1003,Viking Tech,R2,0805,125mW Thin Film Resistor 100V ±25ppm/℃ ±1% 100kΩ 0805  Chip Resistor - Surface Mount ROHS,YES,500,50\50,$ 0.0069,$ 3.45
C217770,ARG05FTC1002,Viking Tech,"R1, R3, R5, R6, R7, R8, R9, R10",0805,125mW Thin Film Resistor 100V ±25ppm/℃ ±1% 10kΩ 0805  Chip Resistor - Surface Mount ROHS,YES,4000,50\50,$ 0.006,$ 24.00
C2828866,ARG05FTC0500,Viking Tech,"R11, R12, R13, R14, R15, R16, R17, R18, R19, R20, R22, R23, R24",0805,125mW Thin Film Resistor 150V ±25ppm/℃ ±1% 50Ω 0805  Chip Resistor - Surface Mount ROHS,YES,9500,50\50,$ 0.0058,$ 55.10
C181140,BC847B,Guangdong Hottech,"Q1, Q2, Q3, Q4, Q5, Q6",SOT-23,45V 200mW 100mA NPN SOT-23  Bipolar Transistors - BJT ROHS,YES,3000,50\50,$ 0.0064,$ 19.20
C125086,LTST-C150KRKT,Lite-On,"D1, D10, D12",1206,20mA 54mcd 无色透明透镜 -30℃~+85℃ 624nm Red 130° 62.5mW 2V 1206  Light Emitting Diodes (LED) ROHS,YES,1500,20\20,$ 0.0177,$ 26.55
C125084,LTST-C150GKT,Lite-On,"D2, D3, D4, D5, D6, D7",1206,20mA 6mcd 无色透明透镜 -55℃~+85℃ 569nm Green-yellow 130° 100mW 2.1V 1206  Light Emitting Diodes (LED) ROHS,YES,3000,20\20,$ 0.0244,$ 73.20
C219232,HL-PC-3216H233W（9000-16000K）,HONGLITRONIC(Hongli Zhihui (HONGLITRONIC)),"D11, D16",1206,20mA 9000K~16000K 1000mcd 雾状黄透镜 -40℃~+85℃ Positive post White 140° 102mW 3.4V 1206  Light Emitting Diodes (LED) ROHS,YES,1000,20\20,$ 0.0163,$ 16.30
C541857,PZ200V-11-03P,XFCN,J3,"Plugin,P=2mm","Straight Square Pins 2mm 3P 3.9mm -40℃~+105℃ 2.8mm 2mm Plugin Black Brass 1x3P Plugin,P=2mm  Pin Headers ROHS",YES,500,50\50,$ 0.0109,$ 5.45
C541856,PZ200V-11-02P,XFCN,"J1, J2, J4, J5, J6, J7","Plugin,P=2mm","Straight Square Pins 2mm 2P 3.9mm -40℃~+105℃ 2.8mm 2mm Plugin Black Brass 1x2P Plugin,P=2mm  Pin Headers ROHS",YES,3000,50\50,$ 0.008,$ 24.00
C1710,CL21B103KBANNNC,Samsung Electro-Mechanics,"C1, C3",0805,50V 10nF X7R ±10% 0805  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,YES,1000,100\100,$ 0.0053,$ 5.30
C7471877,189RV0015,KNSCHA,C7,"SMD,D6.3xL7.7mm","680uF 6.3V 600mA@100KHz 160mΩ@100KHz ±20% SMD,D6.3xL7.7mm  Aluminum Electrolytic Capacitors - SMD ROHS",YES,500,5\5,$ 0.0486,$ 24.30
C2686509,ARG05DTC2203,Viking Tech,R4,0805,125mW Thin Film Resistor 150V ±0.5% ±25ppm/℃ 220kΩ 0805  Chip Resistor - Surface Mount ROHS,YES,500,50\50,$ 0.0074,$ 3.70
C218421,ARG05FTC0200,Viking Tech,"R21, R26",0805,125mW Thin Film Resistor 100V ±25ppm/℃ ±1% 20Ω 0805  Chip Resistor - Surface Mount ROHS,YES,1000,50\50,$ 0.0074,$ 7.40
C2906280,MST22D18G2 125,SHOU HAN,SW1,SMD,Brick nogging 100mA DPDT 12V Black 1万次 SMD  Slide Switches ROHS,YES,500,10\10,$ 0.0398,$ 19.90
